FMCG_CID,CurrentBalance,YearInflow,ManualTransactions,onlineTransactions,TotalTransactions,NoOfclosedAccounts,NewAccountsOpened,No.ofchequeBounces,No.of failedtransactions,YearOutflow,OverallPerspective
130692,51863118,13461516265,916969,299761407,300677796,182,9941,1214,2198587,47598155215,0
170143,52472789,13168580021,259222,641733131,641990984,842,9360,7762,2454462,82159022859,1
179153,76860615,29083366620,532006,93767680,94297943,842,5021,679,876691,50918945895,1
184751,60372633,4989901547,855558,160079591,160933629,167,9758,9342,6340039,15869956091,0
187030,4988066,44636815766,872455,158614446,159484776,254,4672,6855,200133,39910445241,1
148471,58809720,54663964052,164240,932721724,932885649,965,1920,2123,3253816,93745105003,2
187742,35622307,56734564123,834915,937112988,937944679,386,8353,1829,8787071,99962074697,2
170084,41133156,7337040046,713127,602221013,602931995,314,8402,1301,2761432,24633753894,0
163465,85875774,51712608730,117824,307247501,307364891,224,7571,2918,2623724,26020926071,1
146403,13151565,76005796696,507418,717338260,717842414,757,4366,1806,6890990,1755039460,1
132804,83136543,32491854442,604460,194664047,195265147,928,1230,3208,2324350,79402277950,1
178977,74623603,34143111152,990873,165834485,166823265,335,1319,675,4803642,58420762738,1
208751,81306322,67409776940,764072,740502349,741262869,564,1757,3353,2966478,20837322140,1
112376,60995785,77886850365,611065,837873907,838484787,159,1128,535,1448594,23044736007,1
204460,50124235,42715215396,751789,206495137,207246289,640,2551,532,3054304,44541376341,1
171971,85414346,97009972089,552349,539360462,539909771,985,6136,9383,8793333,29938009091,1
210224,63304844,80444703330,227563,608003377,608227130,554,2383,1440,1633625,66395734859,2
212954,46006189,43992282520,580384,730358795,730937866,868,6598,286,1536811,23831019159,0
191005,53254921,56467005871,759151,193186617,193944461,271,4468,7969,7577847,26154200571,1
134816,23159563,63703201184,382953,97625564,98004812,285,4742,9547,7679294,77670175941,2
136385,20157297,91378613333,674570,271622682,272293709,931,4735,2407,9769450,89940051519,2
117483,13437181,60372774542,404837,838831598,839233510,913,5888,8877,2276137,3794661174,0
190061,75887806,48774957261,150464,253515644,253663783,194,3429,3786,3247455,47740677921,1
172459,6482556,91943753291,634088,119035338,119665922,611,6555,6803,2863012,71382663390,2
120813,10691471,45071257710,94993,158969629,159064348,386,3601,6609,8964255,2542317668,0
119351,95610967,92170117459,609870,839990290,840597506,566,7279,4425,7251398,35533831844,1
168030,86224807,93921135686,501697,564899457,565400075,106,9928,5374,7749248,27547806921,1
111833,76586035,58359130235,50346,620206931,620253852,405,4459,1609,5850722,66419186509,1
113298,13476967,55197081562,303637,837864757,838165573,520,6379,232,7680198,27928294737,1
188769,91490110,41180398078,24904,989595893,989619629,573,10050,9451,731928,88558549953,1
172913,8178457,10859094702,302907,502398958,502701708,730,9711,7752,4004256,33158021547,0
146498,56854528,7591305199,110201,991618254,991727697,231,3154,3995,1073834,36427927627,0
111882,47922984,22250247907,462240,624691317,625152284,524,2430,2328,6016000,17851449215,0
201494,68958927,42363665076,275079,369997513,370271611,351,4233,8088,2843063,63061914433,1
189131,64742827,52078112628,654559,724995939,725648720,309,2360,5855,2084107,8024925578,0
185845,26968612,92947615545,288289,965391549,965676796,432,5247,233,1561549,29361801653,1
170912,26363095,2873911723,293353,315570383,315863304,147,2616,5049,8593827,91684098480,1
206109,92532527,79139159394,109472,392751927,392860268,243,2327,7953,9999470,52560902316,1
139527,97110312,60233445847,339515,918094923,918432065,368,3055,799,6251777,23256587390,1
196459,22201654,14209494437,602393,405525220,406123769,373,9342,2230,2357447,19287598365,0
127301,8214034,64926361383,990646,141594567,142584525,416,2692,8620,5548140,64651101504,1
131358,11548709,13188831225,886008,569688052,570573818,155,1430,8491,2851166,42133400827,0
188673,43404045,77299082370,738556,451733343,452471117,716,4459,7274,9313708,34463411838,1
178423,10580116,67725747076,934777,582985975,583918505,67,9024,7459,8691397,68703861239,2
123154,29737074,33861777664,367923,344339880,344704333,154,3746,8371,1103266,68261924189,1
209056,5166542,49793786991,798448,428192779,428991189,699,5985,4401,7888793,41452168905,1
161663,33926323,45513349805,630135,454153514,454783296,727,5559,5407,4526242,89626666134,2
168341,75031704,76571047000,476476,968510563,968985143,278,6894,9688,8905208,77396606163,2
149201,98726344,43276776279,210586,75622039,75829411,606,3060,5504,2386238,25508077560,0
169919,87924240,36323358686,595856,593292623,593884522,676,2386,2047,71981,36147914190,1
111226,57058528,11203076239,57412,668235460,668292471,375,3204,2643,6719121,29276585966,0
139365,34708939,57496996989,724923,69035676,69758367,920,3809,4209,9899340,52855272075,1
202391,1838731,8428990220,553270,848025369,848576834,730,3612,9674,4611589,25949508390,0
166496,6653926,90235569750,484557,969567368,970049243,302,6932,4577,6853349,57214880815,2
170207,36149689,32507052922,846502,188937110,189781151,818,4576,5881,3330768,18957156101,0
151650,14396328,13342310449,321778,491799833,492118645,347,8932,6784,6352828,32786409518,0
140887,71853948,94556434961,902619,451376360,452277064,936,1809,2842,4948785,76499587414,2
111603,54768096,28493173695,182212,449639450,449818638,450,4430,8567,7108051,32747010139,0
129082,66574897,10044536671,584186,508728783,509310246,858,8799,2948,7720188,71222083302,1
173689,97281523,4842836432,984987,880466647,881451335,349,2034,4590,6933161,22977999173,0
210097,21056951,25753864593,298913,747581339,747879148,103,3242,5565,6591669,90986781563,1
128542,30707993,88453451048,693664,502065289,502755743,570,9009,6461,2766901,80041283922,2
158413,43136432,81825534472,224897,372099579,372322667,931,3123,7634,1975634,93008941030,2
161739,78250848,43955089430,695168,653491564,654185201,1002,1490,1262,4905341,53779701873,1
196874,5216298,91248379230,45009,907548536,907592085,244,4680,3842,4766301,66983147237,2
144377,31129743,62521551915,943973,640734099,641676725,921,2233,4191,7283014,48993972046,1
122836,69177934,72467953421,72092,902767167,902835629,869,1558,1443,82843,19414179027,1
176291,33222871,9948085771,965759,938360089,939324994,490,3933,1420,1438351,84835913448,1
209180,20311344,60623966377,127421,836000245,836126465,971,7561,7148,617609,89457942389,2
213340,59798400,39026514569,373591,731808258,732180335,836,6790,6062,2631342,92544885679,1
175395,52826284,1271910039,333133,25998311,26331082,512,3538,1091,8240647,91051503549,1
168164,39813779,94207911307,45768,858201506,858245591,715,2550,6075,8533798,7980228188,1
194573,60766447,97313488496,62033,355625557,355687570,1051,1365,8689,9334202,94960547059,2
168200,62958818,22989831993,419381,925119224,925537636,250,5387,3997,2284076,46463632578,0
133481,86828415,43658484930,421182,186604235,187022262,935,10011,7325,7338347,17596260860,0
172058,76546804,81842741698,392219,887907027,888297341,972,9113,2347,5569320,15571606483,1
113301,70723450,39777753260,970314,350694050,351660995,695,9943,650,5154114,68415265377,1
133652,34888556,31181694110,502755,387324904,387826285,1009,4443,4612,555831,17769685045,0
133836,60044507,26181021934,422346,549903461,550324444,649,3897,5027,5729382,52288586492,1
132538,83611270,96768201332,46358,533800492,533844789,1068,7672,307,5587303,57363256347,2
211202,82352322,77412580459,160632,555192100,555352627,643,2169,3778,4582058,92826130566,2
212472,69740035,92879337934,341076,598369502,598709982,236,8206,5456,4312051,96138317939,2
210899,15161638,12805717634,179516,216876564,217054759,97,5300,5025,5955110,32434549424,0
202663,38312925,63970630432,177869,668531841,668707338,62,6783,5731,6017482,75901285864,2
162527,44385523,73016575864,543844,620402978,620943424,397,8914,8599,6585988,68419220829,2
171979,13386621,99251157096,906372,737785096,738690401,395,5389,8490,8870544,92866903234,2
151887,76553250,66306463844,118513,591412395,591530810,830,5865,6520,823638,18671053698,1
171379,79329372,41455895191,419116,863661343,864080244,181,5324,3930,9734073,51628031508,1
202646,33741242,59506393054,827895,677254017,678080013,231,6040,2163,5265332,19404753422,1
198054,19891264,90752386647,415281,717515122,717927161,679,5419,5779,431956,29502308961,1
146781,58976666,37050999319,489376,733365603,733851696,951,2577,246,6479431,33223795632,1
169495,75746938,74676472749,84168,252952693,253034550,927,6848,7720,4702078,5292461969,1
124012,69411849,92484568645,837297,103195142,104030828,768,7318,1253,179328,73134884940,2
153452,94785427,25559019116,232599,296079671,296311589,698,6816,2685,4011645,73956698007,1
129618,57044683,75181181526,741262,209771126,210510414,196,6834,9217,6728291,81423358335,2
149612,85148275,11767721983,865663,289855062,290717242,725,2517,7985,8816149,31345372324,0
173712,79678947,25482452725,245916,219931269,220176763,373,5933,9213,1761463,21472524541,0
145059,55184892,79495328780,828399,77570590,78396197,470,4169,5827,1135761,78338617445,2
151915,25725561,63432374314,318446,343984910,344301640,1067,10051,199,5325927,25214415639,1
110838,90632146,81052587550,566885,276789063,277355587,723,1820,5733,6224069,22566301434,1
153823,49640040,72439796052,744304,451792586,452535458,963,3206,930,5434660,33681480950,1
123452,16470785,50063198289,34262,61988794,62022200,965,3027,3335,501353,87593428572,2
196532,79541134,37306348527,553938,159166337,159717373,321,4724,8770,3355833,53330663071,1
177529,21124057,13563138663,387775,820430852,820815740,268,2239,8440,6044843,27329032529,0
171156,47852071,83581004988,701718,979372623,980072425,499,9367,294,59480,81836854501,2
199140,83922541,10912962576,778270,371630267,372404555,541,5616,7919,5926445,47515204329,0
165696,49517575,91759528642,153761,374102910,374254894,611,7197,1945,3175956,99856037828,2
192659,42910016,61006161127,468312,553414474,553882772,1015,1848,6166,8612593,16733772491,1
124041,8551917,76906880512,756498,383134512,383889209,508,5345,4830,7619460,63355513532,2
201856,52377042,85791519253,591359,801917972,802505606,261,7139,8978,4394164,29423848799,1
143898,49899306,62245901381,487874,81939488,82427221,535,5842,3135,5038909,90264955443,2
188018,2716267,73803826153,704524,591933860,592636183,724,9117,8480,8050032,74309770715,2
192502,36751860,64684405246,968938,109204978,110170136,967,5824,6677,8384899,51087684538,1
197607,8178998,25638206957,78569,492806394,492882054,285,4783,5326,160860,96507180315,1
167347,3606193,55573171216,812576,63117169,63926086,854,3820,5638,2065449,90427799749,2
176189,70528783,31470895084,703969,15904276,16606947,973,2053,8918,3381731,70022950440,1
174029,97541209,72733440231,539866,649444023,649980103,316,3257,349,4305349,63402336594,2
163865,33951735,53756520168,794001,169796235,170590108,258,6055,8252,2623456,24035008436,1
180674,57434192,50917545546,205827,698548103,698753426,728,9848,1499,8805465,25936145641,1
211082,49607619,54625874429,828892,414937855,415765611,443,4453,1197,7088845,70517868069,1
127906,52201819,16644320641,83972,503598450,503679633,880,8970,7540,224129,71142665925,1
139171,40358240,87413011057,845585,723204664,724047204,123,8529,9840,8374517,19875887357,1
117384,25323076,91362835341,403306,546430426,546832904,676,8082,763,6921731,85094183287,2
121434,43951387,89425763578,916142,981870760,982784502,246,4910,2302,5240810,16026257993,1
137886,33438524,69210947683,956330,260444360,261399440,613,9734,5682,1878271,6102331943,1
203649,85821558,21256450554,131894,327886723,328017612,121,2418,3687,5004015,17262686711,0
146323,69228406,64455726731,62366,717112278,717173438,171,3897,8592,8227706,40391159929,1
211424,6142546,91137802798,693297,861705673,862398045,702,8403,7130,5684208,47624375652,2
121603,46103829,76922936384,207401,906995812,907203208,939,9834,2855,4166548,95401581771,2
191051,8596139,53885735197,66694,429218464,429282181,445,9508,5224,8516298,34691932637,1
180833,53916048,46990375429,810377,372065875,372875155,898,2323,1331,4262781,6216765769,0
158635,97525242,89714056341,148124,968676020,968823029,557,4097,9011,1347122,4401741966,1
198983,61486464,36619555964,504226,368570661,369074407,481,7017,7172,5179312,93397751261,1
197035,12855524,78385231020,417005,304813530,305226545,680,3337,5789,489642,53552551203,1
122106,25788068,98007703084,604422,201494124,202097980,249,2097,100,9548364,82046604020,2
157705,22493277,7308271672,950511,354421790,355371274,978,9562,4464,1269551,50245601505,0
152595,38890088,43899653952,919327,51384557,52300591,307,7182,9901,1299236,85583405574,1
209638,47482288,40694774275,494044,562913652,563405353,879,9065,552,765694,99491398244,2
204361,21645036,59985885616,529339,778376824,778903534,571,9408,8698,6469854,27837873592,1
158735,79898565,53667637270,589743,393222233,393809171,777,7590,6528,8095725,88119705827,2
124819,47151418,69874961235,347661,543017554,543365180,656,5715,4838,5971284,42388031832,1
117705,11947168,8483698954,414311,593837312,594251500,652,7359,2264,2644317,9984463267,0
199078,49206272,87829397672,139315,639317879,639455942,756,9548,6480,1115454,69175589143,2
112331,36089922,65296510598,181322,965722774,965901106,677,4213,3734,7006130,11902348681,1
172922,90846853,44828349853,668319,24490839,25155830,484,7766,992,5194706,96335526805,2
163655,46810949,94052189669,387735,133547113,133932126,744,3376,4110,2126041,57476591178,2
199757,67431132,6635439684,255394,168869009,169120784,522,6080,488,4177800,57535104395,0
150988,3060118,95382727273,620242,544010571,544628405,1052,6502,5641,6591554,18960860531,1
153819,89195775,28264244401,697884,757198666,757893601,780,9804,7923,3266693,40279924464,0
143830,12457174,11512468230,105948,341090006,341192071,1005,9885,4794,274702,61035352073,1
161954,98165858,27522820303,947813,452859929,453806537,122,7267,6760,2415771,64433728595,1
185710,94310969,42360427753,705052,110985485,111687930,903,8702,9430,2752699,95080242230,2
168888,92663015,44622543931,508724,76393894,76899807,783,5401,5647,8910948,94042420411,2
188439,12393213,98131981035,714015,547352548,548065264,1071,5747,7074,4565375,94916706198,2
175593,53599821,25155835548,528589,40162030,40687839,350,8931,5264,3896507,96464570540,1
209018,90696649,39677544892,32722,180788461,180819582,201,4455,157,230522,25460607319,0
182427,75464260,3494681042,104915,906718901,906820522,839,1963,999,4273022,47276487197,0
198985,15609482,92500349821,880170,289411341,290287820,135,5109,7261,2773817,40602159750,1
165747,79511438,23742578773,212687,390301842,390511625,566,8201,7797,4611226,92410096815,1
118305,60309938,44192800655,614449,81561778,82172799,625,7572,5957,9239441,13394052244,0
198486,76347900,56903844817,663766,605630137,606291009,222,6310,5064,8649709,57279698257,1
125736,16110064,43588942609,185098,799629162,799812274,363,6550,1596,9109304,9375692408,0
198107,46530042,88277209130,934652,735361168,736295593,1052,2205,2687,1100775,28484065309,1
154246,45092509,60478611623,546614,794725913,795269407,415,7685,8981,6786338,96666285686,2
111845,68697512,16211607275,498186,996966772,997461158,834,7971,6724,5588639,71356181505,1
122655,64409888,12659728721,715919,837139399,837852528,828,2133,8222,44265,19760552946,0
165581,24958087,43524882134,352127,555632233,555983236,962,6574,2122,4974013,52827670362,1
156599,36528044,39736634715,110950,303156306,303264939,358,9390,6923,8242653,80956602018,1
140147,53496781,70838538485,140356,452111823,452249488,1005,8241,411,6826613,54890363797,1
155913,48646434,8896195457,261553,907773489,908032376,502,9680,586,3786761,80978079187,1
158676,62351364,85004210603,490427,185454347,185943412,604,10048,6195,2434036,96105182494,2
145247,17432349,10416797226,443948,113824587,114265205,604,6169,2965,6897869,58906775565,0
129460,40355036,95932257206,324814,611052914,611375818,850,5728,2575,1727965,11613740608,1
141750,34369117,78729549000,160030,597997139,598153842,803,6257,6318,2197821,32482860850,1
165715,66490463,78790168258,317875,608206362,608520495,693,2685,6970,8891804,38640685902,1
168916,51746283,92030271434,681425,769215147,769895481,312,2798,2600,1650193,15961340946,1
144693,78194708,69982404978,835584,513186846,514021303,669,4283,4343,6318367,38586888927,1
120569,49212428,68283672287,526098,949150602,949673182,390,6262,7346,8113697,47229322346,1
195970,72850973,48320846046,18318,860174666,860191799,736,7872,6323,1513735,97123594451,2
117573,49306765,92568417725,528806,100623561,101152358,697,6642,6771,3416118,37519953959,1
122887,5583165,55136125893,720621,514155837,514872547,510,8466,5862,7495947,53945655522,1
154549,44611946,21068592040,654264,93910123,94563686,619,3233,5110,1835031,29156696130,0
143307,37908579,73048800332,997357,839117481,840111477,390,6119,4311,8589801,52800520132,1
152437,85116581,36780341889,740269,94963708,95702094,150,9023,7216,4203751,77458455863,1
153463,16433782,44993315687,290054,861016205,861303864,244,8017,1280,4003269,21526576702,0
135118,57720758,5550520993,465509,601505156,601970577,697,4100,4146,2111243,40541016663,0
212624,64579577,8630714940,478968,650974263,651449705,681,4675,6487,5893660,47662485290,0
137241,28184020,83389297078,110967,394228175,394335499,105,5890,3087,8931400,18816350446,1
114986,1855820,8513161048,216682,41417129,41630452,151,9673,5715,9917315,61470491848,0
147268,96754694,58115982771,49239,721992518,722039033,155,8490,1036,5713599,84569416184,2
177755,22734608,41182495794,986368,597265735,598250451,227,5839,4815,5594436,36628015453,1
163487,48010809,87775123005,557054,634676813,635232418,435,9515,7356,7035202,69561854401,2
213180,91909309,2426650672,286489,36040674,36326352,578,1713,5037,971082,67838154077,0
207279,52103068,58532062144,416175,692527762,692940475,647,2403,4095,8207090,21066402878,1
128294,67677922,54846689922,797890,497455792,498249865,569,2982,3477,8621418,35466333086,1
208086,85789920,58038867170,672107,566304600,566975809,161,5242,4375,1255874,53337950339,1
198537,59131366,39769957291,269861,969640645,969908396,320,8971,911,7434843,75017012794,1
147309,6547681,21168424804,978674,640922290,641897199,328,4064,9410,4533998,13819717316,0
177577,46650771,49827862298,236667,565789796,566023140,550,6257,4229,766639,41271383841,1
141479,21043317,62421470986,556906,129972041,130526052,977,4290,3473,1804756,47649617050,1
210346,64304394,60024697032,787950,227569973,228353973,229,4515,3488,5898647,79746496146,2
147139,96168651,38892315606,565399,14598103,15162998,459,3727,7325,3175128,55009587490,1
139872,1645302,29876738162,83914,998361375,998443937,274,6788,8948,7918819,63722536118,1
201461,30005289,26817544299,399155,532865425,533262024,724,5901,8426,9942341,41466584552,0
176314,79268809,88477545890,335765,426659610,426993205,458,5778,9657,8741564,37708971090,1
177839,62330698,59569322701,945960,370473544,371418681,206,6213,8811,4664088,93795224536,2
149894,5086151,66699496705,179414,45731924,45910321,127,9440,5458,2054871,83346744350,2
118277,46529125,82820232708,950095,567934706,568883713,603,8472,9277,5570275,41685400323,1
207781,4812500,54161867919,693358,420138869,420828392,74,7145,3127,8957875,62755535586,1
212622,89409077,98114850368,649727,694418776,695067632,488,1858,236,5872661,64834694439,2
128123,86360861,46936029818,164778,367409710,367572215,678,2876,99,9456393,96135818947,2
164965,71485026,29119915688,18580,181173232,181189205,148,4599,9552,4589755,88942945002,1
178897,68727379,21018725083,255577,868796663,869049132,421,4586,9967,3519881,8319679399,0
135778,4204108,60606798517,502383,174017746,174519013,352,5642,786,1211967,89829069172,2
136699,31203247,89319876060,238740,856245315,856482375,729,7510,1668,2595430,39972317927,1
180204,95568256,86822723276,933187,20339944,21272014,645,3739,901,7388507,82154385416,2
192185,91186949,20188195012,206785,150556031,150759245,273,1223,5089,5189250,2337385227,0
196384,35587222,3631339198,61105,165936481,165996902,457,2803,7694,1926514,42290433436,0
170542,45279995,46409344834,609081,189713063,190321802,355,5317,6371,3915749,48222247081,1
139659,12513987,7277233309,644114,665029636,665672436,506,7071,7000,3859947,82665615503,1
127072,11168860,57180245510,744737,31396388,32138446,103,6245,9267,9852671,29420332908,1
172228,50328964,90493774128,911184,274574762,275482717,287,5605,6345,5099064,71972618045,2
190867,53267803,74959517146,262485,808353993,808613294,507,2377,8949,2069067,59537860066,2
185441,68815147,21502999980,533830,83277134,83808242,414,9440,4908,6965254,19453441558,0
148862,64824784,84567090749,795934,671216513,672011062,543,6396,2456,8913756,61252631257,2
158650,35380031,29987356957,355257,21318602,21672535,166,9317,7217,4419266,36195818307,0
174781,51069289,55229724172,466967,561604811,562071000,468,7876,2983,9732022,81049579201,2
184785,13333414,99103083325,543701,406757219,407298447,78,9771,4453,8591178,41530873559,2
191395,17012126,26419774759,80818,114030942,114110617,211,2133,7551,258636,2100428093,0
176458,61363554,31941977574,38434,689674961,689711587,846,1736,6278,6882359,54618779413,1
181947,58212401,68016860672,634939,552547889,553181976,165,6102,5739,1247480,67554825404,2
116379,5100262,89961141767,874961,972710388,973582651,892,9765,4687,9210642,38113605058,1
124543,37678472,64515820882,507549,207426838,207931469,443,8147,9788,2534459,9316375211,1
139969,15610630,70671815552,851052,444348408,445197453,946,2683,1823,4848056,85884602212,2
184682,12476027,29220020069,378890,337886805,338265518,531,2508,5304,5753455,27724570614,0
132576,55883203,16938153273,682823,41509507,42189763,820,5305,2392,6289727,44755157291,0
163562,21730539,41555023927,612612,497540521,498152462,226,4781,6999,9851054,21541618626,0
192912,67565159,21006848966,250849,889402249,889651357,590,1838,9411,388068,32901083085,0
161469,8261472,64847669600,258854,104600029,104855382,911,8769,4973,2768178,11872889335,1
116498,52900029,25811474956,819513,541849328,542666894,767,7937,2960,6605882,82107636534,1
205579,53359993,50794571318,615931,765835249,766450494,603,5140,3798,4579018,42895235713,1
144757,77677887,30039991406,134290,649777046,649907575,656,4320,3648,2169586,82715493623,1
140129,58670089,44734646219,319039,500155787,500472157,915,4173,7085,4513081,9712727934,0
127188,44526258,33262448131,588190,506975470,507561534,918,2473,204,7968829,56622354493,1
197619,37520410,60882302153,708511,457463645,458168275,901,2850,531,8220088,34843373535,1
206677,95379398,88111125369,309790,169378835,169687935,443,7521,6039,6843785,11243906273,1
115637,2571136,73837595197,458646,93651959,94107134,310,5080,5259,1011228,74484086583,2
148022,85637013,69668826775,159883,117179632,117335972,119,7730,8122,4466664,90498139886,2
130878,76874942,42889974122,965235,955097414,956060535,136,3480,4089,182734,65903696594,1
111357,1888526,99986150441,676540,139647751,140320678,624,4274,82,295919,80065994498,2
147068,2510455,85590597389,154158,32071966,32223318,178,8457,3841,3539278,3621160340,1
132679,86384066,36287803640,827218,226333644,227159901,937,9257,5257,8693143,42244357686,1
152299,76937850,93272001558,155044,878519251,878674105,235,9103,1265,3078231,40121987757,1
184501,18235720,81152337258,646263,853020116,853662652,848,9217,153,1581988,21375324521,1
131330,29713129,8439232876,550253,402902840,403452705,208,4809,7541,5689159,40861302563,0
142846,42555240,58509352304,299346,354872269,355169573,205,3963,1816,161595,63852892292,1
174595,64743479,73351804489,135671,788810824,788946191,43,5028,4326,1056568,26579228258,1
151313,6261837,75521384653,181148,648385235,648563945,445,3637,1710,5941258,23834639117,1
139903,18399127,2435609280,858930,519004001,519859487,997,4642,1468,6919076,50266694540,0
211448,39904628,91840766439,278278,120871498,121148497,934,4203,438,1982934,77346545195,2
130263,29755983,70066218199,776620,757632326,758406140,750,7734,8915,9552556,55374665698,1
138329,7363364,22453639388,883541,41533248,42414266,962,4099,182,5179492,61210481070,1
135190,63478587,14037379382,912440,693828728,694737242,54,6048,8898,1064832,62551189848,1
148807,45464108,58828978853,968598,270000206,270968523,381,5668,5246,5835666,6860208223,0
171743,45922372,93431159752,423221,896984780,897406363,756,1966,9969,7981728,23904067993,1
191510,70168673,34207515823,505573,414279096,414780748,424,6549,5367,3628279,42800015794,1
192794,96936301,98192505765,147452,606931188,607075924,236,2571,8862,488994,60127869841,2
111960,84430008,52850117027,826001,545697388,546519788,601,9612,1945,9876068,99441736575,2
137782,97473087,39369737299,522481,761911897,762431265,205,5066,3512,9677086,91139235082,1
122700,10055331,31177267750,699410,929715099,930414323,860,7143,2343,8997245,17629615026,0
115915,98276152,25938970729,436185,669150430,669585285,504,7906,9144,838555,80434333236,1
167842,13547628,71337190247,225870,804325134,804547534,966,1701,2307,8518239,80547496758,2
181965,39177471,36355548812,916406,152564763,153477729,207,4448,9970,8313515,94186030578,1
166127,28648852,15170859609,53470,63611672,63662589,984,1784,8969,935111,12950036551,0
161517,73494781,42057955813,786774,167254897,168040218,392,2905,4802,7919663,46209224425,1
196231,41362282,89043434043,59245,468589293,468645754,657,3758,7593,3331962,70711224421,2
165401,79833995,23427089087,599814,38830868,39427580,693,2269,1689,5748763,50867726002,1
120825,58695307,2582913987,138204,31870729,32007206,565,1361,1807,5068804,29025689828,0
188852,65520330,25910293590,799639,314325202,315123337,755,7400,9122,8561802,40536805607,0
150645,33769799,10941609952,150676,925641599,925788339,571,10028,8316,4449355,83642097600,1
181184,63632831,55021259396,450552,588378222,588827545,862,8497,3645,2458553,27382901443,1
148418,32569548,48427622890,667854,553766260,554431388,157,1818,4465,4008251,19650577383,0
139251,93371892,29868626909,760969,323175695,323933771,109,5494,7875,8247898,80739657752,1
202461,71378228,52675177980,769532,899806565,900573984,692,4635,6799,4467921,96897462609,2
157039,85354655,59562165700,233484,863368314,863600571,311,4306,5901,5911017,17094966619,1
119684,30535443,89732471221,935053,825102072,826035989,801,2159,6542,4582575,91530599389,2
212155,66844383,90750782494,960029,178541372,179500669,304,9599,3051,7268190,31114327613,1
113600,97962954,64234604599,589310,67455862,68042640,711,1754,3464,3090047,96061081820,2
187362,89859143,84552480605,915046,94047350,94960867,313,8704,2157,3505637,67745772935,2
165105,87972350,48724342443,945940,31309236,32252900,777,2686,4860,2811720,26479105614,1
183767,20235310,95651912218,942764,427312397,428254412,239,9961,8606,6067816,52001761334,2
125459,33548646,72759849051,377114,166192400,166568738,958,1768,439,3968328,52419952627,1
113636,5548522,61278027742,976580,372593851,373569705,650,8726,4331,5997270,34829320431,1
200758,41000482,4071702874,129580,74608343,74736762,438,8995,1507,4168817,13083957045,0
122361,22106499,70190041994,173930,231707518,231878181,177,1641,5432,3973424,79111687341,2
181245,63276878,20670428399,985223,470537571,471521288,167,2845,5890,5552188,49220779565,0
126382,97848920,66738080355,303995,524642910,524944821,612,8588,961,7091476,2727180257,0
127698,67691942,92130038603,191293,28195019,28384501,194,1614,9398,1335543,81019680678,2
166818,52095548,12360205904,545440,614184755,614727703,230,8451,290,7870452,64354789518,1
180188,34803001,52822597747,938651,463314700,464252610,946,3315,4239,5883347,16197906259,0
196922,88757854,6007846267,860312,767827898,768687710,485,8533,6492,7079434,47255738233,0
199516,26434656,36674199373,651318,610827133,611474956,301,5127,8458,2681334,70752858838,1
194839,34678267,88576213271,517679,961026369,961543604,376,7967,5475,3715336,86579739752,2
136739,39876350,92488166274,424480,331418526,331842592,328,9967,2004,8590841,90015729187,2
128160,99163908,35318631566,812824,550458872,551268379,391,8959,1980,4613399,59952907312,1
160004,51692495,58517422378,897126,906453674,907350532,103,8151,2095,3882938,90799557837,2
158538,53314342,34422499533,587131,606575967,607160104,691,1219,9058,9773661,58093681452,1
159270,9528800,38398750997,774122,879805027,880578994,824,2223,7193,3051948,24663422294,0
208589,83514346,73728309188,926785,893425908,894350703,1023,7365,8496,8631052,62494142355,2
150128,73462263,31268119265,102831,842738369,842840687,366,7274,1836,4866016,51531500559,1
183469,21767976,6079655867,684376,734316512,735000631,270,9733,2498,4507109,24497506357,0
140105,27397550,38249855487,277474,723066568,723340553,760,2491,922,2170676,59101765192,1
153132,83667876,82165856047,432643,620718600,621148553,665,9421,8372,4513250,79925917697,2
145943,97610389,83429199144,836873,394631924,395465001,375,6793,2034,2587566,89677001432,2
176896,24551209,64943323320,809926,276330541,277137556,397,3914,7479,4772928,73937941575,2
139169,63452409,73320777623,585850,409256387,409841031,202,7704,2513,1954438,22243417722,1
183026,93244617,99109558118,801797,636465694,637266533,1071,8181,3529,7076427,13854699049,1
165357,88168880,11729984730,983863,497596015,498576710,715,3216,566,3592236,95253626426,1
183168,76735249,46851139018,387516,840091496,840477297,596,6162,9243,9823509,22342470947,0
188512,32400220,71251780033,480275,729014689,729492542,196,8340,9315,7778954,89488628539,2
168279,13716369,96927277099,804240,498894727,499697995,718,9742,1995,7032902,12032186222,1
120536,84991255,56841100798,225756,328359507,328582192,498,6494,2855,5322968,21210524855,1
213977,43872682,71129968564,272360,650099589,650371001,621,8827,9117,9190162,86297368298,2
119313,59597339,95618795030,677969,156764189,157441536,248,1706,8755,3090935,12118036580,1
148528,16836560,25099417193,35287,247773379,247807242,365,3909,9562,8173056,79421131385,1
177349,46761360,54721020144,897606,360368786,361264645,623,9797,9282,469545,50484780573,1
203878,44877289,67477415041,20503,998796044,998814545,206,3733,9217,4042024,39730694808,1
187053,95292329,56183734600,561915,349320570,349879794,514,2802,6480,9108787,77550605209,1
187509,97975696,40732042753,518504,642336013,642853166,359,4196,4964,145143,36123128990,1
194112,69763979,22956202337,144947,941760164,941903962,748,9150,5171,3596319,60611971001,1
190362,92010459,75066481706,713728,99623002,100335314,633,2283,4710,5175926,8709415081,1
147719,55596284,85086400457,367065,141469507,141833312,108,1445,7763,2791563,27095994572,1
